id,titles,types,pro_names,pubs
https://www.bibenet.com/zbgg75114552.html,海南州德瑞招投标代理有限公司关于贵南县公共安全视频监控建设联网运维保障服务项目的竞争性磋商公告,招标公告,青海省,2022-04-27
https://www.bibenet.com/zbgg75111972.html,南川工业园区马家滩加压泵站及供水管线工程设计招标公告,招标公告,青海省,2022-04-27
https://www.bibenet.com/zbgg75120180.html,西宁市湟中区第二人民医院购置全高清电子内镜系统采购项目竞争性磋商公告,招标公告,青海省,2022-04-27
https://www.bibenet.com/zbgg75136735.html,黄河大通发电有限责任公司#1机组锅炉大罩密封局部修复项目招标公告,招标公告,青海省,2022-04-27
https://www.bibenet.com/zbgg75136739.html,青海桥头铝电股份有限公司检斤计量无人值守（集中监控）及采制化管理系统改造项目招标公告,招标公告,青海省,2022-04-27
https://www.bibenet.com/zbgg75082205.html,门源回族自治县仙米林场2022年4月至5月政府采购意向,招标公告,青海省,2022-04-27
https://www.bibenet.com/zbgg75105163.html,海西蒙古族藏族自治州生态环境局2022年4月政府采购意向,招标公告,青海省,2022-04-27
https://www.bibenet.com/zbgg75096067.html,泽库县金银潭、东格尔易地搬迁集中安置点污水管网建设项目工程设计竞争性磋商公告,招标公告,青海省,2022-04-27
https://www.bibenet.com/zbgg75136749.html,尖扎县马克唐镇、坎布拉等乡镇农田灌溉提升工程项目询比招标公告,招标公告,青海省,2022-04-27
https://www.bibenet.com/zbgg75114551.html,峰堆乡上一村马铃薯（洋芋粉条）加工厂设备配套建设项目竞争性磋商公告,招标公告,青海省,2022-04-27
https://www.bibenet.com/zbgg75111816.html,青海省国丰工程项目管理有限公司关于城西区2021年第一批中央林业改革发展资金森林抚育项目（第三次）的竞争性磋商公告,招标公告,青海省,2022-04-27
https://www.bibenet.com/zbgg75136753.html,海东市平安区南绕城高速乐都路连接线拓宽及平安路南段节点整治建设项目询比邀请公告,招标公告,青海省,2022-04-27
https://www.bibenet.com/zbgg75087513.html,互助土族自治县中医院绩效管理系统采购项目,招标公告,青海省,2022-04-27
https://www.bibenet.com/zbgg75121754.html,某单位机场供电线路整治项目-招标公告,招标公告,青海省,2022-04-27
https://www.bibenet.com/zbgg75136737.html,某单位办公楼卫生间改造项目工程的竞争性谈判公告,招标公告,青海省,2022-04-27
https://www.bibenet.com/zbgg75112330.html,青海西部水电有限公司能源管控系统开发建设项目招标公告,招标公告,青海省,2022-04-27
https://www.bibenet.com/zbgg75117684.html,海南州贵德县人民法院关于ST-D309型牙科综合治疗机其一（变卖）的公告,招标公告,青海省,2022-04-27
https://www.bibenet.com/zbgg75118325.html,互助县2022年农作物种子工程杂交油菜亲本和制种基地建设项目公开招标公告,招标公告,青海省,2022-04-27
https://www.bibenet.com/zbgg75089884.html,宁秀镇智赛日村千头牦牛养殖基地及牲畜改良建设项目（泽库县牦牛购置二标段）,招标公告,青海省,2022-04-27
